Lines without spaces at the start are ignored
Everything is automatically converted to lowercase also

Recipes are formatted like this:
ItemName | Amount | Row 1 - Row 1 - Row 1 / Row 2 - Row 2 - Row 2 / Row 3 - Row 3 - Row 3
 Light Gray Dye 2 | 2 | Gray Dye - White Dye
 Gray Dye | 2 | Black Dye - White Dye
 Red Dye | 1 | Red Tulip
 Red Dye (var.) | 1 | Poppy
 Red Dye (var. 2) | 1 | Rose Bush
 Red Dye (var. 3) | 1 | Beetroot
 Orange Dye | 2 | Red Dye - Yellow Dye
 Orange Dye (var.) | 1 | Orange Tulip
 Yellow Dye | 1 | Dandelion
 Yellow Dye (var.) | 2 | Sunflower
 Lime Dye | 2 | Green Dye - White Dye
 Light Blue Dye | 2 | Blue Dye - White Dye
 Light Blue Dye | 1 | Blue Orchid
 Cyan Dye | 2 | Blue Dye - Green Dye
 Purple Dye | 1 | Blye Dye - Red Dye
 Magenta Dye | 2 | Pink Dye / Purple Dye
 Magenta Dye (var.) | 2 | Lilac
 Magenta Dye (var. 2) | 1 | Allium
 Magenta Dye (var. 3) | 4 | Blue Dye - White Dye / Red Dye - Red Dye
 Magenta Dye (var. 4) | 3 | Blue Dye - / Pink Dye - Red Dye
 Pink Dye | 1 | Pink Tulip
 Pink Dye (var.) | 2 | Peony
 Pink Dye (var. 2) | 2 | Red Dye - White Dye
 Green Dye | 1 | Cactus - / Furnace - Coal
 Blue Dye | 1 | Lapis Lazuli
 Blue Dye (var.) | 1 | Cornflower
 Black Dye | 1 | Ink Sac
 Black Dye (var.) | 1 | Wither Rose
 Brown Dye | 1 | Cocoa Beans

////////////////
//Wool recipes//
////////////////

 Orange Wool | 1 | White Wool - Orange Dye
 Magenta Wool | 1 | White Wool - Magenta Dye
 Light Blue Wool | 1 | White Wool - Light Blue Dye
 Yellow Wool | 1 | White Wool - Yellow Dye
 Lime Wool | 1 | White Wool - Lime Dye
 Pink Wool | 1 | White Wool - Pink Dye
 Gray Wool | 1 | White Wool - Gray Dye
 Light Gray Wool | 1 | White Wool - Light Gray Dye
 Cyan Wool | 1 | White Wool - Cyan Dye
 Purple Wool | 1 | White Wool - Purple Dye
 Blue Wool | 1 | White Wool - Blue Dye
 Brown Wool | 1 | White Wool - Brown Dye
 Green Wool | 1 | White Wool - Green Dye
 Red Wool | 1 | White Wool - Red Dye
 Black Wool | 1 | White Wool - Black Dye
 Carpet | 3 | Wool - Wool
 Carpet (dyed) | 8 | Carpet - Carpet - Carpet / Carpet - Dye - Carpet / Carpet - Carpet - Carpet

//////////////////////
//Dyed Block Recipes//
//////////////////////
 Stained Clay | 8 | Hardened Clay - Hardened Clay - Hardened Clay / Hardened Clay - Dye - Hardened Clay / Hardened Clay - Hardened Clay - Hardened Clay
 Stained Glass | 8 | Glass - Glass - Glass / Glass - Dye - Glass / Glass - Glass - Glass
 Stained Glass Panes | 16 | Stained Glass - Stained Glass - Stained Glass / Stained Glass - Stained Glass - Stained Glass
 Stained Glass Panes (alt) | 8 | Glass Pane - Glass Pane - Glass Pane / Glass Pane - Dye - Glass Pane / Glass Pane - Glass Pane - Glass Pane

 Firework Star | 1 | Gunpowder - Any Dye / - Extra Ingredients
 Firework Star (fade) | 1 | Firework Star - Any Dye
 Firework Rocket (plain) | 3 | Paper - / Gunpowder - Gunpowder
 Firework Rocket | 3 | - Up to 3 Gunpowder - / - Paper - / - Up to 7 Firework Stars -

 Concrete Powder | 8 | Sand - Gravel - Sand / Gravel - Dye - Gravel / Sand - Gravel - Sand

///////////////////////////////////
//Enchantment and brewing recipes//
///////////////////////////////////

 Enchantment Table | 1 | - Book - / Diamond - Obsidian - Diamond / Obsidian - Obsidian - Obsidian
 Glass Bottle | 3 | Glass - - Glass / - Glass -
 Cauldron | 1 | Iron - - Iron / Iron - - Iron / Iron - Iron - Iron

 Brewing Stand | 1 | - - / - Blaze Rod - / Cobblestone - Cobblestone - Cobblestone
 Blaze Powder | 2 | Blaze Rod
 Magma Cream | 1 | Slimeball / Blaze Powder
 Fermented Spider Eye,Fermented Eye,Spider Eye | 1 | Spider Eye - Brown Mushroom / - Sugar
 Glistering Melon | 1 | Gold Nugget - Gold Nugget - Gold Nugget / Gold Nugget - Melon - Gold Nugget / Gold Nugget - Gold Nugget - Gold Nugget
 Gold Nugget | 9 | Gold

